2019-06-08 09:18:39,966 - INFO: request =[request_id:1559956719.97_10025, ip:127.0.0.1, url:/user/do_sign_in, method:POST]
2019-06-08 09:18:43,968 - INFO: request =[request_id:1559956723.97_23356, ip:127.0.0.1, url:/user/do_sign_in, method:POST]
2019-06-08 09:18:47,964 - INFO: request =[request_id:1559956727.96_47088, ip:127.0.0.1, url:/user/do_sign_in, method:POST]
2019-06-08 09:18:51,964 - INFO: request =[request_id:1559956731.96_96844, ip:127.0.0.1, url:/user/do_sign_in, method:POST]
2019-06-08 09:18:55,966 - INFO: request =[request_id:1559956735.97_28091, ip:127.0.0.1, url:/user/do_sign_in, method:POST]
2019-06-08 09:18:59,967 - INFO: request =[request_id:1559956739.97_34468, ip:127.0.0.1, url:/user/do_sign_in, method:POST]
2019-06-08 09:19:03,963 - INFO: request =[request_id:1559956743.96_45558, ip:127.0.0.1, url:/user/do_sign_in, method:POST]
2019-06-08 09:19:07,963 - INFO: request =[request_id:1559956747.96_13625, ip:127.0.0.1, url:/user/do_sign_in, method:POST]
2019-06-08 09:19:11,969 - INFO: request =[request_id:1559956751.97_62320, ip:127.0.0.1, url:/user/do_sign_in, method:POST]
2019-06-08 09:19:15,966 - INFO: request =[request_id:1559956755.97_39682, ip:127.0.0.1, url:/user/do_sign_in, method:POST]
2019-06-08 09:19:19,963 - INFO: request =[request_id:1559956759.96_69383, ip:127.0.0.1, url:/user/do_sign_in, method:POST]
2019-06-08 09:19:23,966 - INFO: request =[request_id:1559956763.97_89385, ip:127.0.0.1, url:/user/do_sign_in, method:POST]
2019-06-08 09:19:27,968 - INFO: request =[request_id:1559956767.97_86462, ip:127.0.0.1, url:/user/do_sign_in, method:POST]
2019-06-08 09:19:31,965 - INFO: request =[request_id:1559956771.97_64448, ip:127.0.0.1, url:/user/do_sign_in, method:POST]
2019-06-08 09:19:35,964 - INFO: request =[request_id:1559956775.96_22742, ip:127.0.0.1, url:/user/do_sign_in, method:POST]
2019-06-08 09:19:39,833 - INFO: request =[request_id:1559956779.83_56121, ip:127.0.0.1, url:/user/do_sign_in, method:POST]
2019-06-08 10:42:54,226 - INFO: request =[request_id:1559961774.23_97807, ip:127.0.0.1, url:/user/sign_up, method:GET]
2019-06-08 10:42:56,630 - INFO: request =[request_id:1559961776.63_60633, ip:127.0.0.1, url:/favicon.ico, method:GET]
2019-06-08 10:43:05,934 - INFO: request =[request_id:1559961785.93_18886, ip:127.0.0.1, url:/user/sign_in, method:GET]
2019-06-08 10:43:06,871 - INFO: request =[request_id:1559961786.87_73856, ip:127.0.0.1, url:/favicon.ico, method:GET]
2019-06-08 10:43:53,358 - INFO: request =[request_id:1559961833.36_15427, ip:127.0.0.1, url:/user/sign_in, method:GET]
2019-06-08 10:43:53,372 - INFO: request =[request_id:1559961833.37_75822, ip:127.0.0.1, url:/favicon.ico, method:GET]
2019-06-08 10:45:24,981 - INFO: request =[request_id:1559961924.98_98032, ip:127.0.0.1, url:/user/sign_up, method:GET]
2019-06-08 10:45:25,640 - INFO: request =[request_id:1559961925.64_24975, ip:127.0.0.1, url:/favicon.ico, method:GET]
2019-06-08 10:47:04,349 - INFO: request =[request_id:1559962024.35_98539, ip:127.0.0.1, url:/, method:GET]
2019-06-08 10:47:04,394 - INFO: request =[request_id:1559962024.39_18633, ip:127.0.0.1, url:/favicon.ico, method:GET]
2019-06-08 10:47:10,237 - INFO: request =[request_id:1559962030.24_79245, ip:127.0.0.1, url:/user/sign_in, method:GET]
2019-06-08 10:47:10,247 - INFO: request =[request_id:1559962030.25_80999, ip:127.0.0.1, url:/favicon.ico, method:GET]
2019-06-08 10:47:23,583 - INFO: request =[request_id:1559962043.58_92579, ip:127.0.0.1, url:/user/sign_in, method:GET]
2019-06-08 10:47:23,594 - INFO: request =[request_id:1559962043.59_92065, ip:127.0.0.1, url:/favicon.ico, method:GET]
